Ingredient,Trade_Name(s),Disease_Category,Duration_Class,DF_Route(s),Earliest_Approval,Latest_Approval,NDA_Count,ANDA_Count,Generic_Competitor_Count,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Has_Blocking_Exclusivity,Exclusivity_Codes,Latest_Exclusivity_Date,Applicant(s)
EVEROLIMUS,AFINITOR | AFINITOR DISPERZ | EVEROLIMUS | ZORTRESS,Autoimmune,LONG-TERM,"TABLET, FOR SUSPENSION;ORAL | TABLET;ORAL",2009-03-30,2026-05-12,3,15,57,3,2028-07-01,2028,No,,,ALKEM LABORATORIES LTD | AMNEAL EU LTD | APOTEX INC | BIOCON PHARMA LTD | BRECKENRIDGE PHARMACEUTICAL INC | EUGIA PHARMA SPECIALITIES LTD | HIKMA PHARMACEUTICALS USA INC | NATCO PHARMA LTD | NOVARTIS PHARMACEUTICAL CORP | NOVARTIS PHARMACEUTICALS CORP | NOVUGEN ONCOLOGY SDN BHD | PH HEALTH LTD | TEVA PHARMACEUTICALS USA INC
TACROLIMUS,ASTAGRAF XL | ENVARSUS XR | PROGRAF | PROTOPIC | TACROLIMUS,Autoimmune,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | CAPSULE;ORAL | FOR SUSPENSION;ORAL | INJECTABLE;INJECTION | OINTMENT;TOPICAL | TABLET, EXTENDED RELEASE;ORAL",1994-04-08,2025-02-12,6,17,44,10,2028-08-30,2028,No,ODE-360,2028-07-16,ACCORD HEALTHCARE INC | AJENAT PHARMACEUTICALS LLC | ALKEM LABORATORIES LTD | ASTELLAS PHARMA US INC | BIOCON PHARMA LTD | CHENGDU SUNCADIA MEDICINE CO LTD | CONCORD BIOTECH LTD | DR REDDYS LABORATORIES LTD | ENCUBE ETHICALS PRIVATE LTD | FOUGERA PHARMACEUTICALS INC | GLENMARK PHARMACEUTICALS LTD | LEO PHARMA AS | MYLAN PHARMACEUTICALS INC | NEXUS PHARMACEUTICALS LLC | PANACEA BIOTEC PHARMA LTD | SANDOZ INC | STRIDES PHARMA GLOBAL PTE LTD | VELOXIS PHARMACEUTICALS INC
METHOTREXATE SODIUM,METHOTREXATE PRESERVATIVE FREE | METHOTREXATE SODIUM | METHOTREXATE SODIUM PRESERVATIVE FREE | TREXALL | XATMEP,Autoimmune,CHRONIC,INJECTABLE;INJECTION | SOLUTION;ORAL | TABLET;ORAL,1986-09-16,2026-04-30,2,25,37,7,2033-01-02,2033,No,,,ACCORD HEALTHCARE INC | ALEMBIC PHARMACEUTICALS LTD | AZURITY PHARMACEUTICALS INC | BARR LABORATORIES INC | ELITE LABORATORIES INC | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | HETERO LABS LTD UNIT VI | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | MYLAN PHARMACEUTICALS INC | PHARMACHEMIE BV | SAGENT PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | ZYDUS PHARMACEUTICALS USA INC
TOFACITINIB CITRATE,TOFACITINIB CITRATE | XELJANZ | XELJANZ XR,Autoimmune,CHRONIC,"SOLUTION;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",2012-11-06,2026-06-09,3,25,37,8,2034-09-14,2034,Yes,M-14 | PED,2028-08-21,AJANTA PHARMA LTD | APOTEX INC | AUROBINDO PHARMA LTD | AUSON PHARMACEUTICALS INC | BIOCON PHARMA LTD | BRECKENRIDGE PHARMACEUTICAL INC | CONCORD BIOTECH LTD | DEXCEL PHARMA TECHNOLOGIES LTD | HIKMA PHARMACEUTICALS USA INC | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | ORIENT PHARMA CO LTD | PF PRISM CV | PFIZER INC | SAPTALIS PHARMACEUTICALS LLC | SINOTHERAPEUTICS INC | SOMERSET THERAPEUTICS LLC | SPECGX LLC | SUN PHARMACEUTICAL INDUSTRIES INC | YAOPHARMA CO LTD | ZYDUS PHARMACEUTICALS USA INC
ELTROMBOPAG OLAMINE,ELTROMBOPAG OLAMINE | PROMACTA | PROMACTA KIT,Autoimmune,CHRONIC,FOR SUSPENSION;ORAL | TABLET;ORAL,2008-11-20,2026-04-28,2,9,34,12,2028-02-01,2028,No,,,AMNEAL EU LTD | ANNORA PHARMA PRIVATE LTD | BIOCON PHARMA LTD | DR REDDYS LABORATORIES LTD | HETERO LABS LTD UNIT V | HIKMA PHARMACEUTICALS USA INC | MSN LABORATORIES PRIVATE LTD | NOVARTIS PHARMACEUTICALS CORP | SOMERSET THERAPEUTICS LLC | ZYDUS PHARMACEUTICALS USA INC
MYCOPHENOLATE MOFETIL,CELLCEPT | MYCOPHENOLATE MOFETIL | MYHIBBIN,Autoimmune,CHRONIC,CAPSULE;ORAL | FOR SUSPENSION;ORAL | SUSPENSION;ORAL | TABLET;ORAL,1995-05-03,2026-06-01,4,29,29,5,2039-08-16,2039,No,,,ACCORD HEALTHCARE INC | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS INC | CONCORD BIOTECH LTD | HETERO LABS LTD UNIT V | HIKMA PHARMACEUTICALS USA INC | LANNETT CO INC | MYLAN PHARMACEUTICALS INC | RISING PHARMA HOLDING INC | ROCHE PALO ALTO LLC | SANDOZ INC | STRIDES PHARMA GLOBAL PTE LTD | STRIDES PHARMA INTERNATIONAL AG | TEVA PHARMACEUTICALS USA | VISTAPHARM LLC | WUXI FORTUNE PHARMACEUTICAL CO LTD | ZHEJIANG HISUN PHARMACEUTICAL CO LTD
CYCLOSPORINE,CEQUA | CYCLOSPORINE | GENGRAF | NEORAL | RESTASIS | RESTASIS MULTIDOSE | SANDIMMUNE | VERKAZIA | VEVYE,Autoimmune,CHRONIC,CAPSULE;ORAL | EMULSION;OPHTHALMIC | INJECTABLE;INJECTION | SOLUTION;OPHTHALMIC | SOLUTION;ORAL,1983-11-14,2026-06-01,9,17,28,22,2042-04-01,2042,No,ODE-358,2028-06-23,ABBVIE INC | AMNEAL PHARMACEUTICALS LLC | APOTEX INC | DEVA HOLDING AS | DR REDDYS LABORATORIES SA | HARROW EYE LLC | HIKMA PHARMACEUTICALS USA INC | IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA | JIANGSU ANBISON PHARMACEUTICAL CO LTD | MYLAN PHARMACEUTICALS INC | NOVARTIS PHARMACEUTICALS CORP | ONESOURCE SPECIALTY PTE LTD | QILU PHARMACEUTICAL CO LTD | SANDOZ INC | SAPTALIS PHARMACEUTICALS LLC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA INC | TWI PHARMACEUTICALS INC
DEFLAZACORT,DEFLAZACORT | EMFLAZA | JAYTHARI | PYQUVI,Autoimmune,CHRONIC,SUSPENSION;ORAL | TABLET;ORAL,2017-02-09,2026-05-28,2,11,26,0,,,No,,,AMNEAL EU LTD | AUCTA PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | CARNEGIE PHARMACEUTICALS LLC | PTC THERAPEUTICS INC | SUN PHARMACEUTICAL INDUSTRIES INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TRIS PHARMA INC | UPSHER SMITH LABORATORIES LLC | ZYDUS LIFESCIENCES GLOBAL FZE
HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE | PLAQUENIL | SOVUNA,Autoimmune,CHRONIC,TABLET;ORAL,1994-09-30,2022-09-19,2,13,19,0,,,No,,,ACCORD HEALTHCARE INC | ADVANZ PHARMA (US) CORP | ALKALOIDA CHEMICAL CO ZRT | AMNEAL PHARMACEUTICALS CO GMBH | APPCO PHARMA LLC | AUROBINDO PHARMA USA INC | CHARTWELL RX SCIENCES LLC | CREEKWOOD PHARMACEUTICALS LLC | IPCA LABORATORIES LTD | LAURUS LABS LTD | NOVITIUM PHARMA LLC | SANDOZ INC | SENORES PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA | ZYDUS PHARMACEUTICALS USA INC
LEFLUNOMIDE,ARAVA | LEFLUNOMIDE,Autoimmune,CHRONIC,TABLET;ORAL,1998-09-10,2021-05-10,1,9,18,0,,,No,,,ABHAI LLC | AET PHARMA US INC | ALEMBIC PHARMACEUTICALS LTD | APOTEX INC | AUROBINDO PHARMA LTD | FOSUN WANBANG (JIANGSU) PHARMACEUTICAL GROUP CO LTD | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | LUPIN LTD | SANOFI AVENTIS US LLC | ZYDUS LIFESCIENCES GLOBAL FZE
