Drug,Brand,Disease / Indication,Category,Target,Revenue ($B),Dose,Frequency,Duration,_ing,_rev_val
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,TRIUMEQ,Infectious disease,Infectious,pol | P,0.71,600MG BASE; 50MG BASE … oral,Once or twice daily,Indefinite (lifelong maintenance),ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,712.19
Abacavir Sulfate; Lamivudine,ABACAVIR SULFATE AND LAMIVUDINE,Infectious disease,Infectious,pol | P,,600MG BASE; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance),ABACAVIR SULFATE; LAMIVUDINE,0.0
Abaloparatide,TYMLOS,Osteoporosis,Metabolic,PTH1R,0.02,3.12MG/1.56ML (2MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),ABALOPARATIDE,24.33
Abemaciclib,VERZENIO,Breast cancer (HR+/HER2-),Oncology,CDK4 | CDK6,0.63,200MG oral,Once or twice daily,Long-term (until progression / disease control),ABEMACICLIB,633.21
Abiraterone Acetate,ABIRATERONE ACETATE,Prostate cancer (mCRPC),Oncology,CYP17A1,0.01,500MG oral,Once or twice daily,Long-term (until progression / disease control),ABIRATERONE ACETATE,11.47
Abiraterone Acetate; Niraparib Tosylate,AKEEGA,Prostate cancer (mCRPC),Oncology,CYP17A1 | PARP2 | PARP1,,500MG; 100MG BASE oral,Once or twice daily,Long-term (until progression / disease control),ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,0.0
Abrocitinib,CIBINQO,Cancer,Oncology,JAK1,0.02,200MG oral,Once or twice daily,Long-term (until progression / disease control),ABROCITINIB,17.22
Acalabrutinib,CALQUENCE,B-cell malignancies (CLL/MCL),Oncology,BTK,,100MG oral,Once or twice daily,Long-term (until progression / disease control),ACALABRUTINIB,0.0
Acalabrutinib Maleate,CALQUENCE,B-cell malignancies (CLL/MCL),Oncology,BTK,0.12,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control),ACALABRUTINIB MALEATE,124.65
Acarbose,ACARBOSE,Hypertension; Heart failure; Diabetic nephropathy,Metabolic,AMY2A | MGAM,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),ACARBOSE,2.98
Acebutolol Hydrochloride,ACEBUTOLOL HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,ADRB1,0.00,200MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ACEBUTOLOL HYDROCHLORIDE,0.5
Acetazolamide,ACETAZOLAMIDE,Hypertension; Heart failure; Diabetic nephropathy,Neurology,CA1 | CA2 | CA12 | CA4,,500MG oral,Once daily,Indefinite (lifelong maintenance),ACETAZOLAMIDE,0.0
Acetazolamide Sodium,ACETAZOLAMIDE SODIUM,Hypertension; Heart failure; Diabetic nephropathy,Neurology,CA1 | CA2 | CA12 | CA4,,500MG BASE/VIAL,As directed,Indefinite (lifelong maintenance),ACETAZOLAMIDE SODIUM,0.0
Acitretin,ACITRETIN,Acne; Psoriasis; Photoageing,Dermatology,RXRB,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),ACITRETIN,4.33
Aclidinium Bromide,TUDORZA PRESSAIR,Respiratory disease,Respiratory,CHRM3,,0.4MG//inh inh,Once daily,Indefinite (lifelong maintenance),ACLIDINIUM BROMIDE,0.0
Aclidinium Bromide; Formoterol Fumarate,DUAKLIR PRESSAIR,Asthma; COPD,Respiratory,CHRM3 | ADRB2,,0.4MG//inh; 0.012MG//inh inh,Once daily,Indefinite (lifelong maintenance),ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,0.0
Adapalene,ADAPALENE,Acne; Psoriasis; Photoageing,Dermatology,RARG,0.02,0.3% topical,Once or twice daily,Indefinite (lifelong maintenance),ADAPALENE,22.15
Adapalene; Benzoyl Peroxide,DIFFERIN EPIDUO,Acne; Psoriasis; Photoageing,Dermatology,RARG,0.00,0.3%; 2.5% topical,Once or twice daily,Indefinite (lifelong maintenance),ADAPALENE; BENZOYL PEROXIDE,0.03
Adapalene; Benzoyl Peroxide; Clindamycin Phosphate,CABTREO,Acne; Psoriasis; Photoageing,Dermatology,RARG | rpsB,,0.15%; 3.1% … topical,Once or twice daily,Indefinite (lifelong maintenance),ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,0.0
Adefovir Dipivoxil,ADEFOVIR DIPIVOXIL,Infectious disease,Infectious,P,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),ADEFOVIR DIPIVOXIL,1.19
Afatinib Dimaleate,GILOTRIF,Non-small cell lung cancer (EGFR+),Oncology,EGFR | ERBB2 | ERBB4,0.01,40MG BASE oral,Once or twice daily,Long-term (until progression / disease control),AFATINIB DIMALEATE,5.83
Albuterol Sulfate,ALBUTEROL SULFATE,Asthma; COPD,Respiratory,ADRB2,0.98,0.09MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance),ALBUTEROL SULFATE,978.15
Albuterol Sulfate; Budesonide,AIRSUPRA,Asthma; COPD,Respiratory,ADRB2 | NR3C1,0.00,0.09MG BASE//inh; 0.08MG//inh inh,Twice daily,Indefinite (lifelong maintenance),ALBUTEROL SULFATE; BUDESONIDE,0.39
Albuterol Sulfate; Ipratropium Bromide,COMBIVENT RESPIMAT,Asthma; COPD,Respiratory,ADRB2 | CHRM3,,0.1MG BASE//inh; 0.02MG//inh inh,Twice daily,Indefinite (lifelong maintenance),ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,0.0
Alectinib Hydrochloride,ALECENSA,Non-small cell lung cancer (ALK+),Oncology,ALK | RET | ALK,0.09,150MG BASE oral,Once or twice daily,Long-term (until progression / disease control),ALECTINIB HYDROCHLORIDE,91.42
Alendronate Sodium,ALENDRONATE SODIUM,Metabolic disorder,Metabolic,FDPS,0.00,70MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ALENDRONATE SODIUM,0.36
Alendronate Sodium; Cholecalciferol,FOSAMAX PLUS D,Metabolic disorder,Metabolic,FDPS | VDR,,"70MG BASE; 5,600 IU oral",Once or twice daily,Indefinite (lifelong maintenance),ALENDRONATE SODIUM; CHOLECALCIFEROL,0.0
Alfuzosin Hydrochloride,ALFUZOSIN HYDROCHLORIDE,Metabolic disorder,Metabolic,ADRA1A,0.00,10MG oral,Once daily,Indefinite (lifelong maintenance),ALFUZOSIN HYDROCHLORIDE,2.06
Aliskiren Hemifumarate,ALISKIREN HEMIFUMARATE,Cardiovascular disease,Cardiovascular,REN,0.00,300MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ALISKIREN HEMIFUMARATE,0.34
Alitretinoin,PANRETIN,Acne; Psoriasis; Photoageing,Dermatology,RXRB,,0.1% BASE topical,Once or twice daily,Indefinite (lifelong maintenance),ALITRETINOIN,0.0
Allopurinol,ALLOPURINOL,Gout; Hyperuricemia,Metabolic,XDH,,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),ALLOPURINOL,0.0
Allopurinol Sodium,ALLOPURINOL SODIUM,Gout; Hyperuricemia,Metabolic,XDH,,500MG BASE/VIAL,As directed,Indefinite (lifelong maintenance),ALLOPURINOL SODIUM,0.0
Alogliptin Benzoate,NESINA,Type 2 diabetes,Metabolic,DPP4,0.13,25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ALOGLIPTIN BENZOATE,125.44
Alogliptin Benzoate; Metformin Hydrochloride,KAZANO,Type 2 diabetes,Metabolic,DPP4 | MT-ND6 | GPD2,0.01,12.5MG BASE; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance),ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,6.72
Alogliptin Benzoate; Pioglitazone Hydrochloride,OSENI,Type 2 diabetes,Metabolic,DPP4 | PPARG,0.00,25MG BASE; 45MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,0.16
Alpelisib,PIQRAY,Cancer,Oncology,PIK3CA,0.14,200MG oral,Once or twice daily,Long-term (until progression / disease control),ALPELISIB,138.69
