Drug,Brand,Disease / Indication,Category,Drug Modality,Target,Revenue ($B),Dose,Frequency,Duration
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,TRIUMEQ,HIV infection,Infectious – HIV,chemical,pol | P,0.71,600MG BASE; 50MG BASE … oral,Once or twice daily,Indefinite (lifelong maintenance)
Abacavir Sulfate; Lamivudine,ABACAVIR SULFATE AND LAMIVUDINE,HIV infection,Infectious – HIV,chemical,pol | P,,600MG BASE; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Abaloparatide,TYMLOS,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,protein,PTH1R,0.02,3.12MG/1.56ML (2MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Abemaciclib,VERZENIO,Breast cancer,Oncology – Solid Tumor,chemical,CDK4 | CDK6,0.63,200MG oral,Once or twice daily,Long-term (until progression / disease control)
Abiraterone Acetate,ABIRATERONE ACETATE,Prostate cancer,Oncology – Solid Tumor,chemical,CYP17A1,0.01,500MG oral,Once or twice daily,Long-term (until progression / disease control)
Abiraterone Acetate; Niraparib Tosylate,AKEEGA,Prostate cancer,Oncology – Solid Tumor,chemical,CYP17A1 | PARP2 | PARP1,,500MG; 100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Abrocitinib,CIBINQO,Atopic dermatitis,Oncology – Solid Tumor,chemical,JAK1,0.02,200MG oral,Once or twice daily,Long-term (until progression / disease control)
Acalabrutinib,CALQUENCE,Chronic lymphocytic leukemia; Lymphoma,Oncology – Hematologic,chemical,BTK,,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Acalabrutinib Maleate,CALQUENCE,Chronic lymphocytic leukemia; Lymphoma,Oncology – Hematologic,chemical,BTK,0.12,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Acarbose,ACARBOSE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,AMY2A | MGAM,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Acebutolol Hydrochloride,ACEBUTOLOL HYDROCHLORIDE,Hypertension; Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,ADRB1,0.00,200MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Acetazolamide,ACETAZOLAMIDE,Hypertension; Heart failure; Diabetic nephropathy,Neurology – Other,chemical,CA1 | CA2 | CA12 | CA4,,500MG oral,Once daily,Indefinite (lifelong maintenance)
Acetazolamide Sodium,ACETAZOLAMIDE SODIUM,Hypertension; Heart failure; Diabetic nephropathy,Neurology – Other,chemical,CA1 | CA2 | CA12 | CA4,,500MG BASE/VIAL,As directed,Indefinite (lifelong maintenance)
Acitretin,ACITRETIN,Psoriasis,Autoimmune – Dermatology,chemical,RXRB,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Aclidinium Bromide,TUDORZA PRESSAIR,COPD,Respiratory – Obstructive,chemical,CHRM3,,0.4MG//inh inh,Once daily,Indefinite (lifelong maintenance)
Aclidinium Bromide; Formoterol Fumarate,DUAKLIR PRESSAIR,COPD,Respiratory – Obstructive,chemical,CHRM3 | ADRB2,,0.4MG//inh; 0.012MG//inh inh,Once daily,Indefinite (lifelong maintenance)
Adapalene,ADAPALENE,Acne,Dermatology – General,chemical,RARG,0.02,0.3% topical,Once or twice daily,Indefinite (lifelong maintenance)
Adapalene; Benzoyl Peroxide,DIFFERIN EPIDUO,Acne,Dermatology – General,chemical,RARG,0.00,0.3%; 2.5% topical,Once or twice daily,Indefinite (lifelong maintenance)
Adapalene; Benzoyl Peroxide; Clindamycin Phosphate,CABTREO,Acne,Dermatology – General,chemical,RARG | rpsB,,0.15%; 3.1% … topical,Once or twice daily,Indefinite (lifelong maintenance)
Adefovir Dipivoxil,ADEFOVIR DIPIVOXIL,Hepatitis B,Infectious – Hepatitis,chemical,P,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Afatinib Dimaleate,GILOTRIF,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR | ERBB2 | ERBB4,0.01,40MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Albuterol Sulfate,ALBUTEROL SULFATE,Bronchospasm,Respiratory – Obstructive,chemical,ADRB2,0.98,0.09MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance)
Albuterol Sulfate; Budesonide,AIRSUPRA,Asthma; Bronchospasm,Respiratory – Obstructive,chemical,ADRB2 | NR3C1,0.00,0.09MG BASE//inh; 0.08MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Albuterol Sulfate; Ipratropium Bromide,COMBIVENT RESPIMAT,COPD; Bronchospasm,Respiratory – Obstructive,chemical,ADRB2 | CHRM3,,0.1MG BASE//inh; 0.02MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Alectinib Hydrochloride,ALECENSA,Non-small cell lung cancer; Small cell lung cancer; Lymphoma,Oncology – Hematologic,chemical,ALK | RET | ALK,0.09,150MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Alendronate Sodium,ALENDRONATE SODIUM,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,chemical,FDPS,0.00,70MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Alendronate Sodium; Cholecalciferol,FOSAMAX PLUS D,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,chemical,FDPS | VDR,,"70MG BASE; 5,600 IU oral",Once or twice daily,Indefinite (lifelong maintenance)
Alfuzosin Hydrochloride,ALFUZOSIN HYDROCHLORIDE,Benign prostatic hyperplasia,Urology – Prostate,chemical,ADRA1A,0.00,10MG oral,Once daily,Indefinite (lifelong maintenance)
Aliskiren Hemifumarate,ALISKIREN HEMIFUMARATE,Hypertension,Cardiovascular – Hypertension,chemical,REN,0.00,300MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Alitretinoin,PANRETIN,Acne; Psoriasis; Photoageing,Autoimmune – Dermatology,chemical,RXRB,,0.1% BASE topical,Once or twice daily,Indefinite (lifelong maintenance)
Allopurinol,ALLOPURINOL,Lymphoma; Gout,Metabolic – Gout,chemical,XDH,,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Allopurinol Sodium,ALLOPURINOL SODIUM,Lymphoma; Gout,Metabolic – Gout,chemical,XDH,,500MG BASE/VIAL,As directed,Indefinite (lifelong maintenance)
Alogliptin Benzoate,NESINA,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,DPP4,0.13,25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Alogliptin Benzoate; Metformin Hydrochloride,KAZANO,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,DPP4 | MT-ND6 | GPD2,0.01,12.5MG BASE; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Alogliptin Benzoate; Pioglitazone Hydrochloride,OSENI,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,DPP4 | PPARG,0.00,25MG BASE; 45MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Alpelisib,PIQRAY,Cancer,Oncology – Solid Tumor,chemical,PIK3CA,0.14,200MG oral,Once or twice daily,Long-term (until progression / disease control)
Alpha-tocopherol Acetate; Ascorbic Acid; Biotin; Cholecalciferol; Cyanocobalamin; Dexpanthenol; Folic Acid; Niacinamide; Pyridoxine Hydrochloride; Riboflavin 5'-phosphate Sodium; Thiamine Hydrochloride; Vitamin a Palmitate; Vitamin k,INFUVITE ADULT,Metabolic disorder,Endocrinology – Lipid,mixture,VDR,,2 IU/mL; 40MG/mL … IV,As directed,Indefinite (lifelong maintenance)
Amantadine Hydrochloride,AMANTADINE HYDROCHLORIDE,Parkinson's disease; Influenza,Neurology – Movement Disorder,chemical,GRIN1 | M,0.02,137MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Ambrisentan,AMBRISENTAN,Cardiovascular disease,Cardiovascular – Other,chemical,EDNRB,0.08,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amcinonide,AMCINONIDE,Skin disorder,Dermatology – General,chemical,NR3C1,,0.1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Amifampridine Phosphate,FIRDAPSE,Metabolic disorder,Endocrinology – Metabolic,chemical,KCNQ1,0.03,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Amiloride Hydrochloride; Hydrochlorothiazide,AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,Hypertension,Cardiovascular – Hypertension,chemical,SCNN1A | SLC12A3,,5MG ANHYDROUS; 50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Aminophylline,AMINOPHYLLINE,Asthma; COPD,Respiratory – Obstructive,chemical,PDE4A | PDE3A | ADORA1,,25MG/mL,As directed,Indefinite (lifelong maintenance)
Amiodarone Hydrochloride,AMIODARONE HYDROCHLORIDE,Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,KCNH2,0.01,360MG/200ML (1.8MG/mL),As directed,Indefinite (lifelong maintenance)
Amitriptyline Hydrochloride,AMITRIPTYLINE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2,,150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amitriptyline Hydrochloride; Chlordiazepoxide,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,Major depressive disorder; Anxiety disorder; Insomnia,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2 | GABRA1,,12.5MG BASE; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amitriptyline Hydrochloride; Perphenazine,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,Major depressive disorder; Anxiety disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2 | DRD2,,10MG; 2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amlodipine Benzoate,KATERZIA,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C,0.20,1MG BASE/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Amlodipine Besylate,AMLODIPINE BESYLATE,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C,0.00,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
