Drug,Matched_Query,Source,N_Indications,Indications_Parsed,Label_Indication_Text
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,openfda.brand_name=TRIUMEQ,openFDA label,1,HIV infection,TRIUMEQ and TRIUMEQ PD are indicated for the treatment of HIV-1 infection in adults and in pediatric patients aged at least 3 months and weighing at least 6 kg. Limitations of Use: TRIUMEQ and TRIUMEQ PD alone are not recommended in patients with resistance‑associated integrase substitutions or clinically suspected integrase strand transfer inhibitor (INSTI) resistance because the dose of dolutegravir in TRIUMEQ and TRIUMEQ PD is insufficient in these subpopulations. See full prescribing information for TIVICAY (dolutegravir). TRIUMEQ and TRIUMEQ PD are a combination of dolutegravir (integrase
Abacavir Sulfate; Lamivudine,openfda.generic_name=Abacavir and Lamivudine,openFDA label,1,HIV infection,"Abacavir and lamivudine tablet, a combination of abacavir and lamivudine, both nucleoside analogue HIV-1 reverse transcriptase inhibitors, is indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection. Abacavir and lamivudine tablets, in combination with other antiretroviral agents, are indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection."
Abaloparatide,openfda.generic_name=Abaloparatide,openFDA label,2,Osteoporosis; Menopausal / hormone therapy,TYMLOS is a human parathyroid hormone related peptide [PTHrP(1-34)] analog indicated for the: Treatment of postmenopausal women with osteoporosis at high risk for fracture or patients who have failed or are intolerant to other available osteoporosis therapy. Treatment to increase bone density in men with osteoporosis at high risk for fracture or patients who have failed or are intolerant to other available osteoporosis therapy. 1.1 Treatment of Postmenopausal Women with Osteoporosis at High Risk for Fracture TYMLOS is indicated for the treatment of postmenopausal women with osteoporosis at hig
Abemaciclib,openfda.generic_name=Abemaciclib,openFDA label,1,Breast cancer,"VERZENIO ® is a kinase inhibitor indicated: in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, node-positive, early breast cancer at high risk of recurrence. ( 1.1 , 14.1 ) in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer. in combination w"
Abiraterone Acetate,openfda.generic_name=Abiraterone,openFDA label,1,Prostate cancer,Abiraterone acetate tablets are indicated in combination with prednisone for the treatment of patients with Metastatic castration-resistant prostate cancer (CRPC) Metastatic high-risk castration-sensitive prostate cancer (CSPC) Abiraterone acetate tablet is a CYP17 inhibitor indicated in combination with prednisone for the treatment of patients with metastatic castration-resistant prostate cancer (CRPC). metastatic high-risk castration-sensitive prostate cancer (CSPC).
Abiraterone Acetate; Niraparib Tosylate,openfda.brand_name=AKEEGA,openFDA label,1,Prostate cancer,"AKEEGA with prednisone is indicated for the treatment of adult patients with deleterious or suspected deleterious BRCA2 -mutated ( BRCA2 m) metastatic castration-sensitive prostate cancer (mCSPC). AKEEGA with prednisone is indicated for the treatment of adult patients with deleterious or suspected deleterious BRCA -mutated ( BRCA m) metastatic castration-resistant prostate cancer (mCRPC). Select patients for therapy based on an FDA-approved test for AKEEGA . AKEEGA is a combination of niraparib, a poly (ADP-ribose) polymerase (PARP) inhibitor, and abiraterone acetate, a CYP17 inhibitor indicat"
Abrocitinib,openfda.generic_name=Abrocitinib,openFDA label,1,Atopic dermatitis,"CIBINQO is indicated for the treatment of adults and pediatric patients 12 years of age and older with refractory, moderate-to-severe atopic dermatitis whose disease is not adequately controlled with other systemic drug products, including biologics, or when use of those therapies is inadvisable. Limitations of Use CIBINQO is not recommended for use in combination with other JAK inhibitors, biologic immunomodulators, or other immunosuppressants. CIBINQO is a Janus kinase (JAK) inhibitor indicated for the treatment of adults and pediatric patients 12 years of age and older with refractory, mode"
Acalabrutinib,openfda.generic_name=Acalabrutinib,openFDA label,2,Chronic lymphocytic leukemia; Lymphoma,CALQUENCE is a kinase inhibitor indicated: • In combination with bendamustine and rituximab for the treatment of adult patients with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT). • For the treatment of adult patients with MCL who have received at least one prior therapy. • For the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL). 1.1 Previously Untreated Mantle Cell Lymphoma CALQUENCE in combination with bendamustine and rituximab is indicated for the treat
Acalabrutinib Maleate,openfda.generic_name=Acalabrutinib,openFDA label,2,Chronic lymphocytic leukemia; Lymphoma,CALQUENCE is a kinase inhibitor indicated: • In combination with bendamustine and rituximab for the treatment of adult patients with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT). • For the treatment of adult patients with MCL who have received at least one prior therapy. • For the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL). 1.1 Previously Untreated Mantle Cell Lymphoma CALQUENCE in combination with bendamustine and rituximab is indicated for the treat
Acarbose,openfda.generic_name=Acarbose,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"INDICATIONS AND USAGE Acarbose tablets, USP are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus."
