Ingredient,Trade_Name(s),Substance_Class,UNII,Disease_Category,Duration_Class,NDA_Count,ANDA_Count,Generic_Competitor_Count,Earliest_Approval,Medicaid_Total_Reimbursed_2023_USD,Medicaid_Total_Reimbursed_2023_USD_M,Medicaid_Total_Prescriptions_2023,Medicaid_Total_Units_2023,NADAC_Avg_Per_Unit_2024_USD,Medicaid_Matched_Product_Names
ABACAVIR SULFATE,ABACAVIR SULFATE | ZIAGEN,chemical,J220T4J9Q2,Other/Unclassified,OTHER,1,7,7,1998-12-17,1604112.24,1.60,13988,1248543,0.6004,ABACAVIR | ABACAVIR 2 | ABACAVIR 3 | ABACAVIR A | ABACAVIR L
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,TRIUMEQ | TRIUMEQ PD,chemical,J220T4J9Q2 | 1Q1V9V5WYQ | 2T8Q726O95,Infectious,CHRONIC,2,0,0,2014-08-22,712186114.76,712.19,189699,6322524,121.1581,TRIUMEQ | TRIUMEQ 50 | TRIUMEQ 60 | TRIUMEQ PD | TRIUMEQ TA
ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE AND LAMIVUDINE,chemical,J220T4J9Q2 | 2T8Q726O95,Infectious,CHRONIC,0,5,5,2017-03-28,,,,,,
ABALOPARATIDE,TYMLOS,protein,AVK0I6HY2U,Metabolic,CHRONIC,1,0,0,2017-04-28,24327184.38,24.33,9336,15466,1646.3588,TYMLOS | TYMLOS  (A | TYMLOS  AB | TYMLOS (AB | TYMLOS 80
ABEMACICLIB,VERZENIO,chemical,60UAB198HK,Oncology,LONG-TERM,1,0,0,2017-09-28,633212908.94,633.21,46790,2479012,,VERZENIO | VERZENIO 1 | VERZENIO 2 | VERZENIO 5
ABIRATERONE ACETATE,ABIRATERONE ACETATE | YONSA | ZYTIGA,chemical,EM5OCB9YJ6,Oncology,LONG-TERM,2,12,19,2011-04-28,11472090.03,11.47,1023,88110,7.5609,YONSA | YONSA 125M | ZYTIGA | ZYTIGA 250 | ZYTIGA 500
ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,AKEEGA,chemical,EM5OCB9YJ6 | 195Q483UZD,Oncology,LONG-TERM,1,0,0,2023-08-11,,,,,,AKEEGA | AKEEGA 100
ABROCITINIB,CIBINQO,chemical,73SM5SF3OR,Oncology,LONG-TERM,1,0,0,2022-01-14,17224236.28,17.22,3252,101023,180.3146,CIBINQO | CIBINQO 10 | CIBINQO 20 | CIBINQO 50
ACALABRUTINIB,CALQUENCE,chemical,I42748ELQW,Oncology,LONG-TERM,1,0,0,2017-10-31,,,,,,
ACALABRUTINIB MALEATE,CALQUENCE,chemical,LV51EK7IGP,Oncology,LONG-TERM,1,0,0,2022-08-03,124650967.53,124.65,8868,504275,,CALQUENCE
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,chemical,59375N1D0U,Other/Unclassified,OTHER,0,5,5,2013-07-16,,,,,0.3631,
ACARBOSE,ACARBOSE,chemical,T58MSI464G,Metabolic,CHRONIC,0,6,18,2008-05-07,2984047.84,2.98,101851,11252826,0.1610,ACARBOSE | ACARBOSE 1 | ACARBOSE 2 | ACARBOSE 5 | ACARBOSE T
ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,chemical,B025Y34C54,Cardiovascular,CHRONIC,0,2,4,1995-10-18,495705.22,0.50,9776,741920,0.6654,ACEBUTOLOL
ACECLIDINE HYDROCHLORIDE,VIZZ,chemical,3B22O325Q6,Other/Unclassified,OTHER,1,0,0,2025-07-31,,,,,,
ACETAMINOPHEN,ACETAMINOPHEN | INFANTS' FEVERALL | TYLENOL,chemical,362O9ITL9D,Pain,PERIODIC,5,17,19,1983-09-12,,,,,0.0787,TYLENOL 8 | TYLENOL AR | TYLENOL EX
ACETAMINOPHEN; ASPIRIN; CAFFEINE,"ACETAMINOPHEN, ASPIRIN AND CAFFEINE | EXCEDRIN (MIGRAINE RELIEF)",chemical,362O9ITL9D | R16CO5Y76E | 3G6A5W338E,Pain,PERIODIC,1,3,3,1998-01-14,,,,,,
ACETAMINOPHEN; BUTALBITAL,ALLZITAL | BUTALBITAL AND ACETAMINOPHEN | BUTAPAP,chemical,362O9ITL9D | KHS0AZ4JVK,Pain,PERIODIC,0,10,13,1992-10-26,3014.01,0.00,21,751,,ALLZITAL | ALLZITAL 2
ACETAMINOPHEN; BUTALBITAL; CAFFEINE,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",chemical,362O9ITL9D | KHS0AZ4JVK | 3G6A5W338E,Pain,PERIODIC,0,22,23,1984-11-09,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE | FIORICET W/ CODEINE",chemical,362O9ITL9D | KHS0AZ4JVK | 3G6A5W338E | GSL05Y1MN6,Pain,PERIODIC,1,2,4,1992-07-30,,,,,,
ACETAMINOPHEN; CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,chemical,362O9ITL9D | GSL05Y1MN6,Pain,PERIODIC,0,10,18,1988-09-30,,,,,,
ACETAMINOPHEN; HYDROCODONE BITARTRATE,ANEXSIA 5/325 | ANEXSIA 7.5/325 | HYDROCODONE BITARTRATE AND ACETAMINOPHEN,chemical,362O9ITL9D | NO70W886KK,Pain,PERIODIC,0,26,64,2000-07-26,,,,,,
