Ingredient,Trade_Name(s),Disease_Category,Duration_Class,Substance_Class,ChEMBL_ID,Gene_Symbol(s),Target_Name(s),Mechanism_of_Action,Action_Type(s),Target_ChEMBL_ID(s),N_Targets,Match_Strategy
ABACAVIR SULFATE,ABACAVIR SULFATE | ZIAGEN,Other/Unclassified,OTHER,chemical,CHEMBL4303288,pol,Human immunodeficiency virus type 1 reverse transcriptase,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,INHIBITOR,CHEMBL247,1,direct
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,TRIUMEQ | TRIUMEQ PD,Infectious,CHRONIC,chemical,CHEMBL4303288 | CHEMBL1213165 | CHEMBL141,pol | P,Human immunodeficiency virus type 1 reverse transcriptase | Human immunodeficiency virus type 1 integrase | DNA | DNA polymerase/reverse transcriptase,Human immunodeficiency virus type 1 reverse transcriptase inhibitor; Human immunodeficiency virus type 1 integrase inhibitor; DNA inhibitor; DNA polymerase/reverse transcriptase inhibitor,INHIBITOR,CHEMBL247; CHEMBL3471; CHEMBL2363048; CHEMBL2363046; CHEMBL2363047; CHEMBL2362994,6,combination
ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE AND LAMIVUDINE,Infectious,CHRONIC,chemical,CHEMBL4303288 | CHEMBL141,pol | P,Human immunodeficiency virus type 1 reverse transcriptase | DNA | DNA polymerase/reverse transcriptase,Human immunodeficiency virus type 1 reverse transcriptase inhibitor; DNA inhibitor; DNA polymerase/reverse transcriptase inhibitor,INHIBITOR,CHEMBL247; CHEMBL2363048; CHEMBL2363046; CHEMBL2363047; CHEMBL2362994,5,combination
ABALOPARATIDE,TYMLOS,Metabolic,CHRONIC,protein,CHEMBL3301581,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor,Parathyroid hormone receptor agonist,AGONIST,CHEMBL1793,1,direct
ABEMACICLIB,VERZENIO,Oncology,LONG-TERM,chemical,CHEMBL3301610,CDK4 | CDK6,Cyclin-dependent kinase 4 | Cyclin-dependent kinase 6,Cyclin-dependent kinase 4 inhibitor; Cyclin-dependent kinase 6 inhibitor,INHIBITOR,CHEMBL331; CHEMBL2508,2,direct
ABIRATERONE ACETATE,ABIRATERONE ACETATE | YONSA | ZYTIGA,Oncology,LONG-TERM,chemical,CHEMBL271227,CYP17A1,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cytochrome P450 17A1 inhibitor,INHIBITOR,CHEMBL3522,1,direct
ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,AKEEGA,Oncology,LONG-TERM,chemical,CHEMBL271227 | CHEMBL3989922,CYP17A1 | PARP2 | PARP1,"Steroid 17-alpha-hydroxylase/17,20 lyase | Poly [ADP-ribose] polymerase 2 | Poly [ADP-ribose] polymerase 1",Cytochrome P450 17A1 inhibitor; Poly [ADP-ribose] polymerase 2 inhibitor; Poly [ADP-ribose] polymerase-1 inhibitor,INHIBITOR,CHEMBL3522; CHEMBL5366; CHEMBL3105,3,combination
ABROCITINIB,CIBINQO,Oncology,LONG-TERM,chemical,CHEMBL3655081,JAK1,Tyrosine-protein kinase JAK1,Tyrosine-protein kinase JAK1 inhibitor,INHIBITOR,CHEMBL2835,1,direct
ACALABRUTINIB,CALQUENCE,Oncology,LONG-TERM,chemical,CHEMBL3707348,BTK,Tyrosine-protein kinase BTK,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,CHEMBL5251,1,direct
ACALABRUTINIB MALEATE,CALQUENCE,Oncology,LONG-TERM,chemical,CHEMBL4594293,BTK,Tyrosine-protein kinase BTK,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,CHEMBL5251,1,direct
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Other/Unclassified,OTHER,chemical,CHEMBL2068724,"GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3B, GRIN2C, GRIN3A | GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",Glutamate [NMDA] receptor | GABA-A receptor; anion channel,Glutamate [NMDA] receptor antagonist; GABA-A receptor; anion channel positive modulator,ANTAGONIST | POSITIVE MODULATOR,CHEMBL2094124; CHEMBL2093872,2,direct
ACARBOSE,ACARBOSE,Metabolic,CHRONIC,chemical,CHEMBL404271,AMY2A | MGAM,Pancreatic alpha-amylase | Maltase-glucoamylase,Pancreatic alpha-amylase inhibitor; Maltase-glucoamylase inhibitor,INHIBITOR,CHEMBL2045; CHEMBL2074,2,direct
ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,Cardiovascular,CHRONIC,chemical,CHEMBL1200813,ADRB1,Beta-1 adrenergic receptor,Beta-1 adrenergic receptor antagonist,ANTAGONIST,CHEMBL213,1,direct
ACECLIDINE HYDROCHLORIDE,VIZZ,Other/Unclassified,OTHER,chemical,,,,,,,0,not_found
ACETAMINOPHEN,ACETAMINOPHEN | INFANTS' FEVERALL | TYLENOL,Pain,PERIODIC,chemical,CHEMBL112,"PTGS2, PTGS1 | FAAH | TRPV1",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener,INHIBITOR | OPENER,CHEMBL2094253; CHEMBL2243; CHEMBL4794,3,direct
ACETAMINOPHEN; ASPIRIN; CAFFEINE,"ACETAMINOPHEN, ASPIRIN AND CAFFEINE | EXCEDRIN (MIGRAINE RELIEF)",Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL25 | CHEMBL113,"PTGS2, PTGS1 | FAAH | TRPV1 | ADORA1, ADORA2B, ADORA3, ADORA2A",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1 | Adenosine receptor,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener; Adenosine receptor antagonist,INHIBITOR | OPENER | ANTAGONIST,CHEMBL2094253; CHEMBL2243; CHEMBL4794; CHEMBL2111329,4,combination
ACETAMINOPHEN; BUTALBITAL,ALLZITAL | BUTALBITAL AND ACETAMINOPHEN | BUTAPAP,Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL454,"PTGS2, PTGS1 | FAAH | TRPV1 | GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1 | GABA-A receptor; anion channel,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener; GABA-A receptor; anion channel positive allosteric modulator,INHIBITOR | OPENER | POSITIVE ALLOSTERIC MODULATOR,CHEMBL2094253; CHEMBL2243; CHEMBL4794; CHEMBL2093872,4,combination
ACETAMINOPHEN; BUTALBITAL; CAFFEINE,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL454 | CHEMBL113,"PTGS2, PTGS1 | FAAH | TRPV1 | GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6 | ADORA1, ADORA2B, ADORA3, ADORA2A",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1 | GABA-A receptor; anion channel | Adenosine receptor,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener; GABA-A receptor; anion channel positive allosteric modulator; Adenosine receptor antagonist,INHIBITOR | OPENER | POSITIVE ALLOSTERIC MODULATOR | ANTAGONIST,CHEMBL2094253; CHEMBL2243; CHEMBL4794; CHEMBL2093872; CHEMBL2111329,5,combination
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE | FIORICET W/ CODEINE",Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL454 | CHEMBL113 | CHEMBL6067642,"PTGS2, PTGS1 | FAAH | TRPV1 | GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6 | ADORA1, ADORA2B, ADORA3, ADORA2A | OPRK1, OPRD1, OPRM1",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1 | GABA-A receptor; anion channel | Adenosine receptor | Opioid receptors; mu/kappa/delta,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener; GABA-A receptor; anion channel positive allosteric modulator; Adenosine receptor antagonist; Opioid receptors; mu/kappa/delta agonist,INHIBITOR | OPENER | POSITIVE ALLOSTERIC MODULATOR | ANTAGONIST | AGONIST,CHEMBL2094253; CHEMBL2243; CHEMBL4794; CHEMBL2093872; CHEMBL2111329; CHEMBL2095181,6,combination
