Ingredient,Matched_GSRS_Name,UNII,Substance_Class,GSRS_Status,Query_Used,Match_Type,All_Classes,Formula,SMILES
ABACAVIR SULFATE,Abacavir Sulfate,J220T4J9Q2,chemical,approved,ABACAVIR SULFATE,exact_full,chemical,2C14H18N6O.H2O4S,C1=C[C@@H](C[C@@H]1CO)n2cnc3c(NC4CC4)nc(N)nc32.C1=C[C@@H](C[C@@H]1CO)n2cnc3c(NC4CC4)nc(N)nc32.OS(=O)(=O)O
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,Abacavir Sulfate | DOLUTEGRAVIR SODIUM | Lamivudine,J220T4J9Q2 | 1Q1V9V5WYQ | 2T8Q726O95,chemical,approved | approved | approved,ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,"combination(exact_full,exact_full,exact_full)",chemical,,
ABACAVIR SULFATE; LAMIVUDINE,Abacavir Sulfate | Lamivudine,J220T4J9Q2 | 2T8Q726O95,chemical,approved | approved,ABACAVIR SULFATE; LAMIVUDINE,"combination(exact_full,exact_full)",chemical,,
ABALOPARATIDE,ABALOPARATIDE,AVK0I6HY2U,protein,approved,ABALOPARATIDE,exact_full,protein,,
ABEMACICLIB,Abemaciclib,60UAB198HK,chemical,approved,ABEMACICLIB,exact_full,chemical,C27H32F2N8,CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(-c4cc(c5c(c4)n(C(C)C)c(C)n5)F)n3)F
ABIRATERONE ACETATE,ABIRATERONE ACETATE,EM5OCB9YJ6,chemical,approved,ABIRATERONE ACETATE,exact_full,chemical,C26H33NO2,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@]3([H])[C@]4([H])CC=C(c5cccnc5)[C@@]4(C)CC[C@@]32[H])C1
ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,ABIRATERONE ACETATE | Niraparib tosylate,EM5OCB9YJ6 | 195Q483UZD,chemical,approved | approved,ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,"combination(exact_full,exact_full)",chemical,,
ABROCITINIB,ABROCITINIB,73SM5SF3OR,chemical,approved,ABROCITINIB,exact_full,chemical,C14H21N5O2S,CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(C)c2c3cc[nH]c3ncn2
ACALABRUTINIB,Acalabrutinib,I42748ELQW,chemical,approved,ACALABRUTINIB,exact_full,chemical,C26H23N7O2,CC#CC(=O)N1CCC[C@H]1c2nc(-c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn52
ACALABRUTINIB MALEATE,Acalabrutinib maleate anhydrous,LV51EK7IGP,chemical,approved,ACALABRUTINIB MALEATE,exact_full,chemical,C26H23N7O2.C4H4O4,CC#CC(=O)N1CCC[C@H]1c2nc(-c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn52.C(=C/C(=O)O)/C(=O)O
ACAMPROSATE CALCIUM,Acamprosate calcium,59375N1D0U,chemical,approved,ACAMPROSATE CALCIUM,exact_full,chemical,2C5H10NO4S.Ca,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2]
ACARBOSE,Acarbose,T58MSI464G,chemical,approved,ACARBOSE,exact_full,chemical,C25H43NO18,C[C@@H]1[C@H]([C@@H]([C@H]([C@]([H])(O1)O[C@@H]2[C@@H](CO)O[C@@]([H])([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)N[C@@]3([H])C=C(CO)[C@H]([C@@H]([C@H]3O)O)O
ACEBUTOLOL HYDROCHLORIDE,Acebutolol hydrochloride,B025Y34C54,chemical,approved,ACEBUTOLOL HYDROCHLORIDE,exact_full,chemical,C18H28N2O4.ClH,CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O.Cl
ACECLIDINE HYDROCHLORIDE,ACECLIDINE HYDROCHLORIDE,3B22O325Q6,chemical,approved,ACECLIDINE HYDROCHLORIDE,exact_full,chemical,C9H15NO2.ClH,CC(=O)OC1CN2CCC1CC2.Cl
ACETAMINOPHEN,Acetaminophen,362O9ITL9D,chemical,approved,ACETAMINOPHEN,exact_full,chemical,C8H9NO2,CC(=O)Nc1ccc(cc1)O
ACETAMINOPHEN; ASPIRIN; CAFFEINE,Acetaminophen | Aspirin | CAFFEINE,362O9ITL9D | R16CO5Y76E | 3G6A5W338E,chemical,approved | approved | approved,ACETAMINOPHEN; ASPIRIN; CAFFEINE,"combination(exact_full,exact_full,exact_full)",chemical,,
ACETAMINOPHEN; BUTALBITAL,Acetaminophen | BUTALBITAL,362O9ITL9D | KHS0AZ4JVK,chemical,approved | approved,ACETAMINOPHEN; BUTALBITAL,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE,Acetaminophen | BUTALBITAL | CAFFEINE,362O9ITL9D | KHS0AZ4JVK | 3G6A5W338E,chemical,approved | approved | approved,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,"combination(exact_full,exact_full,exact_full)",chemical,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,Acetaminophen | BUTALBITAL | CAFFEINE | Codeine phosphate,362O9ITL9D | KHS0AZ4JVK | 3G6A5W338E | GSL05Y1MN6,chemical,approved | approved | approved | approved,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,"combination(exact_full,exact_full,exact_full,exact_full)",chemical,,
ACETAMINOPHEN; CODEINE PHOSPHATE,Acetaminophen | Codeine phosphate,362O9ITL9D | GSL05Y1MN6,chemical,approved | approved,ACETAMINOPHEN; CODEINE PHOSPHATE,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; HYDROCODONE BITARTRATE,Acetaminophen | HYDROCODONE BITARTRATE,362O9ITL9D | NO70W886KK,chemical,approved | approved,ACETAMINOPHEN; HYDROCODONE BITARTRATE,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; IBUPROFEN,Acetaminophen | Ibuprofen,362O9ITL9D | WK2XYI10QM,chemical,approved | approved,ACETAMINOPHEN; IBUPROFEN,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; IBUPROFEN SODIUM,Acetaminophen | IBUPROFEN SODIUM,362O9ITL9D | RM1CE97Z4N,chemical,approved | approved,ACETAMINOPHEN; IBUPROFEN SODIUM,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,Acetaminophen | Oxycodone Hydrochloride,362O9ITL9D | C1ENJ2TE6C,chemical,approved | approved,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,Acetaminophen | Tramadol Hydrochloride,362O9ITL9D | 9N7R477WCK,chemical,approved | approved,ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
ACETAZOLAMIDE,Acetazolamide,O3FX965V0I,chemical,approved,ACETAZOLAMIDE,exact_full,chemical,C4H6N4O3S2,CC(=O)Nc1nnc(s1)S(=O)(=O)N
