Ingredient,Trade_Name(s),Applicant(s),NDA_Count,ANDA_Count,NDA_Appl_Nos,ANDA_Appl_Nos,DF_Route(s),TE_Code(s),Earliest_Approval,Latest_Approval,RLD_Count,Generic_Competitor_Count,Disease_Category,Duration_Class,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Exclusivity_Codes,Latest_Exclusivity_Date,Has_Blocking_Exclusivity
ABACAVIR SULFATE,ABACAVIR SULFATE | ZIAGEN,AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | CIPLA LTD | HETERO LABS LTD UNIT III | MYLAN PHARMACEUTICALS INC | VIIV HEALTHCARE CO,1,7,020978,077844 | 077950 | 078119 | 091050 | 091294 | 091560 | 201107,SOLUTION;ORAL | TABLET;ORAL,AA | AB,1998-12-17,2018-03-14,1,7,Other/Unclassified,OTHER,0,,,,,No
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,TRIUMEQ | TRIUMEQ PD,VIIV HEALTHCARE CO,2,0,205551 | 215413,,"TABLET, FOR SUSPENSION;ORAL | TABLET;ORAL",,2014-08-22,2022-03-30,2,0,Infectious,CHRONIC,4,2030-06-08,2030,PED,2026-12-15,Yes
ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE AND LAMIVUDINE,AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | CIPLA LTD | HETERO LABS LTD UNIT V | LAURUS LABS LTD,0,5,,090159 | 091144 | 204990 | 205412 | 216332,TABLET;ORAL,AB,2017-03-28,2025-04-16,0,5,Infectious,CHRONIC,0,,,,,No
ABALOPARATIDE,TYMLOS,RADIUS HEALTH INC,1,0,208743,,SOLUTION;SUBCUTANEOUS,,2017-04-28,2017-04-28,1,0,Metabolic,CHRONIC,9,2040-01-10,2040,,,No
ABEMACICLIB,VERZENIO,ELI LILLY AND CO,1,0,208716,,TABLET;ORAL,,2017-09-28,2017-09-28,4,0,Oncology,LONG-TERM,1,2031-09-28,2031,,,No
ABIRATERONE ACETATE,ABIRATERONE ACETATE | YONSA | ZYTIGA,AMNEAL PHARMACEUTICALS OF NEW YORK LLC | APOTEX INC | DR REDDYS LABORATORIES LTD | FLORIDA PHARMACEUTICAL PRODUCTS LLC | GLENMARK SPECIALTY SA | HIKMA PHARMACEUTICALS LLC | JANSSEN BIOTECH INC | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | NOVUGEN ONCOLOGY SDN BHD | QILU PHARMACEUTICAL CO LTD | RISING PHARMA HOLDINGS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | WOCKHARDT BIO AG,2,12,202379 | 210308,208327 | 208339 | 208371 | 208380 | 208416 | 208446 | 208453 | 209227 | 210686 | 212462 | 215086 | 215947,TABLET;ORAL,AB,2011-04-28,2024-04-24,3,19,Oncology,LONG-TERM,2,2034-05-20,2034,,,No
ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,AKEEGA,JANSSEN BIOTECH INC,1,0,216793,,TABLET;ORAL,,2023-08-11,2023-08-11,2,0,Oncology,LONG-TERM,13,2038-03-27,2038,I-980 | NP,2028-12-12,No
ABROCITINIB,CIBINQO,PFIZER INC,1,0,213871,,TABLET;ORAL,,2022-01-14,2022-01-14,3,0,Oncology,LONG-TERM,3,2036-01-14,2036,NCE,2027-01-14,Yes
ACALABRUTINIB,CALQUENCE,ASTRAZENECA UK LTD,1,0,210259,,CAPSULE;ORAL,,2017-10-31,2017-10-31,1,0,Oncology,LONG-TERM,9,2036-07-01,2036,D-200 | I-960 | ODE-274,2029-02-19,No
ACALABRUTINIB MALEATE,CALQUENCE,ASTRAZENECA UK LTD,1,0,216387,,TABLET;ORAL,,2022-08-03,2022-08-03,1,0,Oncology,LONG-TERM,8,2036-07-01,2036,D-200 | I-960,2029-02-19,No
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,APPCO PHARMA LLC | BIONPHARMA INC | GLENMARK PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC | ZYDUS PHARMACEUTICALS USA INC,0,5,,200142 | 202229 | 205995 | 218984 | 219904,"TABLET, DELAYED RELEASE;ORAL",AB,2013-07-16,2026-03-16,0,5,Other/Unclassified,OTHER,0,,,,,No
