Drug Name,Disease,Category
ofatumumab,"KESIMPTA is indicated for the treatment of relapsing forms of multiple sclerosis, to include clinically isolated syndrome, relapsing-remitting disease, and secondary progressive di",autoimmune
"Influenza Vaccine, Adjuvanted",INDICATIONS AND USAGE Amantadine hydrochloride syrup is indicated for the prophylaxis and treatment of signs and symptoms of infection caused by various strains of influenza A viru,infectious
Coagulation Factor VIIa (Recombinant),SEVENFACT is indicated for the treatment and control of bleeding episodes occurring,others
"Influenza A (H5N1) Monovalent Vaccine, Adjuvanted",,others
Peanut (Arachis hypogaea) Allergen Powder,PALFORZIA is an oral immunotherapy indicated for the mitigation of allergic reactions,others
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine","Penicillin G Potassium for Injection, USP may be initiated before results of such tests are known",others
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine","however, once these results become available, appropriate therapy should be continued. CLINICAL INDICATION INFECTING ORGANISM Septicemia, empyema, pneumonia, pericarditis, endocard",infectious
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine","Penicillin G Sodium for Injection, USP may be initiated before results of such tests are known",others
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine",Penicillin G Potassium for Injection may be initiated before results of such tests are known,others
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine",INDICATIONS AND USAGE Sulfadiazine Tablets are indicated in the,others
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine","INDICATIONS AND USAGE sulfADIAZINE Tablets, USP are indicated in the",others
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine","Penicillin G Potassium Injection, USP may be initiated before results of such tests are known",others
Brexucabtagene Autoleucel,TECARTUS is a CD19-directed genetically modified autologous T cell immunotherapy indicated for the treatment of,others
emapalumab,GAMIFANT is indicated for the treatment of,others
satralizumab-mwge,ENSPRYNG is indicated for the treatment of neuromyelitis optica spectrum disorder,others
somapacitan,Pediatric Patients,others
somapacitan,Idiopathic Short Stature. Adults,others
somapacitan,no catch-up growth by 2 years of age,others
somapacitan,Growth failure associated with Noonan syndrome,others
somapacitan,Growth failure due to inadequate secretion of endogenous growth hormone,others
belantamab mafodotin,bortezomib and dexamethasone for the treatment of adult patients with relapsed or refractory multiple myeloma,oncology
tafasitamab-cxix,MONJUVI is a CD19-directed cytolytic antibody indicated,others
tafasitamab-cxix,"lenalidomide, is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma not otherwise specified",oncology
rituximab,"RITUXAN HYCELA is a combination of rituximab, a CD20-directed cytolytic antibody, and hyaluronidase human, an endoglycosidase, indicated for the treatment of adult patients with",others
rituximab,TRUXIMA is a CD20-directed cytolytic antibody indicated for the treatment of adult patients with,others
rituximab,RITUXAN is a CD20-directed cytolytic antibody indicated for the treatment of,others
rituximab,RIABNI is a CD20-directed cytolytic antibody indicated for the treatment of,others
rituximab,Non-progressing (,others
rituximab,Non-Hodgkin's Lymphoma,oncology
rituximab,first line chemotherapy and,others
rituximab,Chronic Lymphocytic Leukemia,oncology
rituximab,Moderate to severe Pemphigus Vulgaris,others
rituximab,Polyangiitis and Microscopic Polyangiitis,others
rituximab,Rheumatoid Arthritis in combination with methotrexate,autoimmune
