Drug Name,Disease,Category,Search Term
ofatumumab,,others,ofatumumab
"Influenza Vaccine, Adjuvanted",,others,Influenza Vaccine
Coagulation Factor VIIa (Recombinant),,others,Coagulation Factor VIIa (Recombinant)
"Influenza A (H5N1) Monovalent Vaccine, Adjuvanted",,others,
Peanut (Arachis hypogaea) Allergen Powder,,others,Peanut (Arachis hypogaea) Allergen Powder
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine",,others,Meningococcal (Groups A
Brexucabtagene Autoleucel,,others,Brexucabtagene Autoleucel
emapalumab,,others,emapalumab
satralizumab-mwge,,others,satralizumab-mwge
somapacitan,,others,somapacitan
belantamab mafodotin,,others,belantamab mafodotin
tafasitamab-cxix,,others,tafasitamab-cxix
rituximab,,others,rituximab
margetuximab-cmkb,,others,margetuximab-cmkb
ansuvimab-zykl,,others,ansuvimab-zykl
adalimumab,,others,adalimumab
"pertuzumab, trastuzumab, and hyaluronidase",,others,"pertuzumab, trastuzumab, and hyaluronidase"
collagenase clostridium histolyticum,,others,collagenase clostridium histolyticum
epoetin alfa,,others,epoetin alfa
dupilumab,,others,dupilumab
insulin lispro,,others,insulin lispro
pegfilgrastim,,others,pegfilgrastim
insulin glargine,,others,insulin glargine
inebilizumab-cdon,,others,inebilizumab-cdon
trastuzumab,,others,trastuzumab
naxitamab-gqgk,,others,naxitamab-gqgk
ravulizumab,,others,ravulizumab
"atoltivimab, maftivimab, and odesivimab-ebgn",,others,"atoltivimab, maftivimab, and odesivimab-ebgn"
dulaglutide,,others,dulaglutide
polatuzumab vedotin-piiq,,others,polatuzumab vedotin-piiq
Short Ragweed Pollen Allergen Extract,,others,Short Ragweed Pollen Allergen Extract
risankizumab,,others,risankizumab
dostarlimab-gxly,,others,dostarlimab-gxly
loncastuximab tesirine-lpyl,,others,loncastuximab tesirine-lpyl
avalglucosidase alfa-ngpt,,others,avalglucosidase alfa-ngpt
eptinezumab-jjmr,,others,eptinezumab-jjmr
lonapegsomatropin,,others,lonapegsomatropin
COVID,,others,COVID
tezepelumab,,others,tezepelumab
efgartigimod alfa-fcab,,others,efgartigimod alfa-fcab
tralokinumab,,others,tralokinumab
evinacumab,,others,evinacumab
Cholera Vaccine Live Oral,,others,
Pneumococcal 15-valent Conjugate Vaccine,,others,Pneumococcal 15-valent Conjugate Vaccine
"Zoster Vaccine Recombinant, Adjuvanted",,others,
anifrolumab,,others,anifrolumab
