Drug Name,Disease,Source Key
ofatumumab,relapsing-remitting disease,ofatumumab
ofatumumab,clinically isolated syndrome,ofatumumab
ofatumumab,active secondary progressive disease,ofatumumab
ofatumumab,relapsing forms of multiple sclerosis,ofatumumab
"Influenza Vaccine, Adjuvanted",,"influenza vaccine, adjuvanted"
Influenza Vaccine,signs,influenza vaccine
Influenza Vaccine,prophylaxis,influenza vaccine
Influenza Vaccine,parkinsonism,influenza vaccine
Influenza Vaccine,not available,influenza vaccine
Influenza Vaccine,Paralysis Agitans,influenza vaccine
Influenza Vaccine,postencephalitic parkinsonism,influenza vaccine
Influenza Vaccine,chemoprophylaxis against signs,influenza vaccine
Influenza Vaccine,idiopathic Parkinson's disease,influenza vaccine
Influenza Vaccine,when the vaccine is contraindicated,influenza vaccine
Influenza Vaccine,drug-induced extrapyramidal reactions,influenza vaccine
Influenza Vaccine,symptoms of infection caused by various strains of influenza A virus,influenza vaccine
Influenza Vaccine,those elderly patients believed to develop parkinsonism in association,influenza vaccine
Influenza Vaccine,symptoms of influenza A virus infection when early vaccination is not feasible,influenza vaccine
Influenza Vaccine,symptomatic parkinsonism which may follow injury to the nervous system by carbon monoxide intoxication,influenza vaccine
Influenza Vaccine,uncomplicated respiratory tract illness caused by influenza A virus strains especially when administered early in the course of illness,influenza vaccine
Coagulation Factor VIIa (Recombinant),older,coagulation factor viia (recombinant)
Coagulation Factor VIIa (Recombinant),patients,coagulation factor viia (recombinant)
Coagulation Factor VIIa (Recombinant),treatment,coagulation factor viia (recombinant)
Coagulation Factor VIIa (Recombinant),adolescents 12 years of age,coagulation factor viia (recombinant)
Coagulation Factor VIIa (Recombinant),bleeding episodes occurring,coagulation factor viia (recombinant)
Coagulation Factor VIIa (Recombinant),congenital factor VII deficiency,coagulation factor viia (recombinant)
Coagulation Factor VIIa (Recombinant),control of bleeding episodes occurring,coagulation factor viia (recombinant)
"Influenza A (H5N1) Monovalent Vaccine, Adjuvanted",,"influenza a (h5n1) monovalent vaccine, adjuvanted"
