Proper Name,File Name(s),Applicant(s),BLA Number(s),Proprietary Name(s),Strength (merged),Dosage Form(s),Route of Administration,Approval Date(s)
acellular nerve allograft-arwx,2025_december.csv,Axogen Corporation,125816,avance nerve graft,"1•LENGTHS: 15 MM, 30 MM, 50 MM, AND 70 MM 
•DIAMETERS: 1 TO 2 MM, 2 TO 3 MM, 3",Implant,Implantation,3-Dec-25
acellular tissue engineered vessel-tyod,2024_december.csv,Humacyte Global Inc.,125812,symvess,"6 MM INTERNAL DIAMETER,~42 CM LENGTH",Implant,Implantation,19-Dec-24
adalimumab-aacf,2022_december.csv | 2024_january.csv,"Fresenius Kabi USA, LLC",761255,Idacio,40MG/0.8ML,Injection,Subcutaneous,"12/13/2022 | January 05, 2024"
adalimumab-aaty,2023_june.csv | 2023_october.csv,"CELLTRION, Inc.",761219,Yuflyma,20MG/0.2ML | 40MG/0.4ML | 80MG/0.8ML,Injection,Subcutaneous,5/23/2023 | 9/29/2023
adalimumab-adaz,2022_march.csv | 2023_march.csv,Sandoz Inc.,761071,Hyrimoz,10MG/0.1ML | 10MG/0.2ML | 20MG/0.2ML | 20MG/0.4ML | 40MG/0.4ML | 80MG/0.8ML,Injection,Subcutaneous,03/28/2022 | 3/20/2023 | 3/28/22
adalimumab-adbm,2024_may.csv,"Boehringer Ingelheim Pharmaceuticals, Inc.",761058,Cyltezo,40MG/0.4ML,Injection,Subcutaneous,30-Apr-24
adalimumab-aqvh,2021_december.csv | 2023_march.csv,"Coherus BioSciences, Inc.",761216,Yusimry,40MG/0.8ML,Injection,Subcutaneous,12/17/2021 | 2/27/2023
adalimumab-atto,2023_april.csv | 2023_august.csv | 2023_september.csv,Amgen Inc.,761024,Amjevita,10MG/0.2ML | 20MG/0.2ML | 40MG/0.4ML | 80MG/0.8ML,Injection,Subcutaneous,4/6/2023 | 8/14/2023
adalimumab-bwwd,2022_august.csv | 2022_june.csv,"Samsung Bioepis Co., Ltd.",761059,Hadlima,40MG/0.4ML | 40MG/0.8ML,Injection,Subcutaneous,06/17/2022 | 08/15/2022
adalimumab-fkjp,2020_july.csv,Mylan Pharmaceuticals Inc.,761154,Hulio,20 mg/0.4ML | 40 mg/0.8ML,Injection,Subcutaneous,7/6/2020
adalimumab-ryvk,2024_february.csv | 2024_july.csv | 2025_march.csv,Alvotech USA Inc.,761299,Simlandi,20MG/0.2ML | 40MG/0.4ML | 80MG/0.8ML,Injection,Subcutaneous,"14-Feb-25 | February 23, 2024 | June 26, 2024"
aducanumab-avwa,2021_june.csv,Biogen Inc.,761178,Aduhelm,170MG/1.7ML (100MG/ML) | 300MG/3ML (100MG/ML),Injection,Intravenous,06/07/2021
afamitresgene autoleucel,2024_august.csv,Adaptimmune LLC,125789,tecelra,2.68 x 10^9 to 10 x 10^9 CELL/ML,Suspension,Intravenous,"August 01, 2024"
aflibercept,2023_august.csv | 2023_september.csv,"Regeneron Pharmaceuticals, Inc.",761355,Eylea HD,8MG/0.07ML,Injection,Intravitreal,8/18/2023
aflibercept-abzv,2024_august.csv,Sandoz Inc.,761382,Enzeevu,2MG/0.05ML,Injection,Intravitreal,"August 09, 2024"
aflibercept-ayyh,2024_august.csv,Amgen Inc.,761298,Pavblu,2MG/0.05ML,Injection,Intravitreal,"August 23, 2024"
aflibercept-boav,2025_november.csv,"CELLTRION, Inc.",761377,Eydenzelt,2MG/0.05ML,Injection,Intravitreal,2-Oct-25
aflibercept-jbvf,2024_may.csv | 2026_january.csv,Biocon Biologics Inc.,761274,Yesafili,2MG/0.05ML,Injection,Intravitreal,13-Jan-26 | 20-May-24
aflibercept-mrbb,2024_july.csv | 2025_december.csv,Formycon AG,761378,Ahzantive,2MG/0.05ML,Injection,Intravitreal,"17-Apr-25 | June 28, 2024"
aflibercept-yszy,2024_may.csv,"Samsung Bioepis Co., Ltd.",761350,Opuviz,2MG/0.05ML,Injection,Intravitreal,20-May-24
