"Proper Name, merged",original proper name,year,N/R/U,Applicant,BLA Number,Proprietary Name,BLA Type,Strength,Dosage Form,Route of Administration,Product Presentation,Status,Licensure,Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date,,License Type,Marketing Status,Inter. Approval Date,Inter. Supplement Number,Patent List Provided
ofatumumab,ofatumumab,2020,N,Novartis Pharmaceuticals Corporation,125326,Kesimpta,351(a),20MG/0.4ML,Injection,Subcutaneous,Autoinjector|Pre-Filled Syringe,Rx,Licensed,8/20/2020,,,70,Supplement,1244,003|004,CDER,,,,,,,,,,,
"Influenza Vaccine, Adjuvanted","Influenza Vaccine, Adjuvanted",2020,N,Seqirus Inc.,125510,"Fluad,Fluad Quadrivalent",351(a),15UG/.5ML|45UG/.5ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,2/21/2020,,,143,Supplement,2049,001|002,CBER,11/24/2015,,,,,,,,,,
Coagulation Factor VIIa (Recombinant),Coagulation Factor VIIa (Recombinant),2020,N,Laboratoire Francais du Fractionnement et des Biotechnologies S.A.,125641,Sevenfact,351(a),1MG|5MG,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,4/1/2020,,,0,Original Application,2061,001|002,CBER,3/25/1999,,,,,,,,,,
"Influenza A (H5N1) Monovalent Vaccine, Adjuvanted","Influenza A (H5N1) Monovalent Vaccine, Adjuvanted",2020,N,Seqirus Inc.,125692,Audenz,351(a),7.5HA UG/.5ML,Injection,Intramuscular,Pre-Filled Syringe,Disc,Licensed,1/31/2020,,,0,Original Application,2049,001,CBER,1/31/2020,,,,,,,,,,
Peanut (Arachis hypogaea) Allergen Powder,Peanut (Arachis hypogaea) Allergen Powder,2020,N,"Aimmune Therapeutics, Inc.",125696,Palforzia,351(a),0.5MG|1MG|10MG|20MG|100MG|300MG,Powder,Oral,Capsule|Sachet,Rx,Licensed,1/31/2020|01/31/2020,N/A,N/A,0,Original Application|Original,2109,001|002|003|004|005|006,CBER,1/31/2020,,,,,,,,,,
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine","Meningococcal (Groups A, C, Y, W) Conjugate Vaccine",2020,N,Sanofi Pasteur Inc.,125701,Menquadfi,351(a),0.5ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,4/23/2020,,,0,Original Application,1725,001,CBER,4/23/2020,,,,,,,,,,
Brexucabtagene Autoleucel,Brexucabtagene Autoleucel,2020,N,Kite Pharma Inc.,125703,Tecartus,351(a),2x10^6 CAR-positive viable T cells per kg body weight,For Injection,Intravenous,Bag,Rx,Licensed,7/24/2020,,,0,Original Application,2064,001,CBER,7/24/2020,,,,,,,,,,
emapalumab,emapalumab-lzsg,2020|2023,N,Swedish Orphan Biovitrum AB (publ),761107,Gamifant,351(a),100MG/20ML (5MG/ML)|50MG/2ML (25MG/ML)|100MG/4ML (25MG/ML)|250MG/10ML (25MG/ML),Injection,Intravenous,Single-Dose Vial,Rx,Licensed,"6/26/2020|June 07, 2023",N/A,N/A,4|15,Supplement,1859,003|004|005|006,CDER,,,,,"November 20, 2025",,,Rx,,,
satralizumab-mwge,satralizumab-mwge,2020,N,"Genentech, Inc.",761149,Enspryng,351(a),120MG/ML,Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,8/14/2020,,,,Original,1048,001,CDER,,,,,,,,,,,
somapacitan,somapacitan-beco,2020|2021|2023,N,Novo Nordisk Inc.,761156,Sogroya,351(a),10MG/1.5ML (6.7MG/ML)|5MG/1.5ML (3.3MG/ML)|15MG/1.5ML (10MG/ML),Injection,Subcutaneous,Autoinjector,Rx,Licensed,8/28/2020|10/01/2021|4/28/2023,N/A,N/A,1|5,Original|Supplement,1261,001|002|3,CDER,,,,,,,,,,,
