Source,Record_ID,Company_Sponsor,Sponsor_Class,Country,Product_Name,Target_Disease,Disease_Area,Cell_Type,Gene_Target,Stage,Status,Start_Date,Source_URL,Notes
ClinicalTrials.gov,NCT05131412,Guangzhou Women and Children's Medical Center,OTHER,China,,Pneumonia; Hematopoietic Stem Cell Transplantation,Infectious Disease / COVID-19,Cord Blood / HSC,,Not Reported,COMPLETED,2018-08-08,https://clinicaltrials.gov/study/NCT05131412,Mesenchymal Stem Cells for the Treatment of Pneumonia Post Haematopoietic Stem Cell Transplantation
ClinicalTrials.gov,NCT03779711,"Timothy J Nelson, MD, PhD",OTHER,United States,Autologous (self) mononuclear cells derived from umbilical cord blood; Stage II Surgical repair,Hypoplastic Left Heart Syndrome,Cardiovascular,Cord Blood / HSC,,Phase 2,ACTIVE_NOT_RECRUITING,2019-06-06,https://clinicaltrials.gov/study/NCT03779711,Intramyocardial Injection of Autologous Umbilical Cord Blood Derived Mononuclear Cells During Surgical Repair of Hypoplastic Left Heart Syndrome
ClinicalTrials.gov,NCT00306111,University Hospital Tuebingen,OTHER,Germany,pegfilgrastim,Non-Hodgkin Lymphoma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2006-01,https://clinicaltrials.gov/study/NCT00306111,Pegfilgrastim vs. Filgrastim - Comparison of Mobilized Blood Stem Cells in Patients With Non Hodgkin-lymphoma
ClinicalTrials.gov,NCT00272571,Sheba Medical Center,OTHER_GOV,Israel,External counter pulsation therapy,Coronary Artery Disease,Cardiovascular,Progenitor Cell,,N/A (Device/Behavioral),COMPLETED,2004-08,https://clinicaltrials.gov/study/NCT00272571,The Effects of External Counter Pulsation Therapy on Circulating Endothelial Progenitor Cells
ClinicalTrials.gov,NCT06716281,"Shanghai IxCell Biotechnology Co., LTD",OTHER,China,Human umbilical cord mesenchymal stem cells; Placebo,Knee Osteoarthritis,Orthopedic / Musculoskeletal,Mesenchymal Stem Cell (MSC),,Phase 3,RECRUITING,2024-01-05,https://clinicaltrials.gov/study/NCT06716281,Efficacy and Safety of IxCell hUC-MSC-O in Patients With Knee Osteoarthritis
ClinicalTrials.gov,NCT06416709,Cell Energy Life Sciences Group Co. LTD,INDUSTRY,China,mesenchymal stem cells; saline,Lung Injury,Respiratory,Mesenchymal Stem Cell (MSC),,Phase 1/2,UNKNOWN,2023-05-10,https://clinicaltrials.gov/study/NCT06416709,Stem Cell Treatment for Lung Injury Caused by Major Infectious Diseases
ClinicalTrials.gov,NCT04247945,Fujian Medical University,OTHER,China,Cotransplant with MSCs,Allogeneic Hematopoietic Stem Cell Transplantation,Hematopoietic Stem Cell Transplant (Supportive Care),Mesenchymal Stem Cell (MSC),,Phase 2/3,UNKNOWN,2020-02-01,https://clinicaltrials.gov/study/NCT04247945,Co-transplantation of MSC in the Setting of Allo-HSCT
ClinicalTrials.gov,NCT03165292,"Gustave Roussy, Cancer Campus, Grand Paris",OTHER,Austria; France; Italy; Netherlands; Spain,mIBG; Topotecan; Thiotepa; Autologous stem cell transplant,Very High Risk Neuroblastoma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 2,TERMINATED,2018-10-01,https://clinicaltrials.gov/study/NCT03165292,Evaluation of 2 Intensification Treatment Strategies for Neuroblastoma Patients With a Poor Response to Induction
ClinicalTrials.gov,NCT00371371,UMC Utrecht,OTHER,Netherlands,Bone marrow punction; BM-MNC infusion; Placebo infusion,Peripheral Vascular Diseases; Arterial Occlusive Diseases; Leg Ulcer; Gangrene; Ischemia,Cardiovascular,Stem Cell (Unspecified Type),,Phase 1/2,COMPLETED,2006-09,https://clinicaltrials.gov/study/NCT00371371,Intra-arterial Stem Cell Therapy for Patients With Chronic Limb Ischemia (CLI)
ClinicalTrials.gov,NCT04429763,Trustem,INDUSTRY,,Umbilical cord derived mesenchymal stem cells; Placebo,COVID-19,Infectious Disease / COVID-19,Mesenchymal Stem Cell (MSC),,Phase 2,UNKNOWN,2020-07,https://clinicaltrials.gov/study/NCT04429763,Safety and Efficacy of Mesenchymal Stem Cells in the Management of Severe COVID-19 Pneumonia
ClinicalTrials.gov,NCT07232563,Zhujiang Hospital,OTHER,China,Intranasal Administration of Human Umbilical Cord Mesenchymal Stem Cell-Derived Small Extracellular Vesicles (hUC-MSC-sEV-001) Therapy,Ischemic Stroke,Neurological,Mesenchymal Stem Cell (MSC),,Phase 1,NOT_YET_RECRUITING,2025-12-01,https://clinicaltrials.gov/study/NCT07232563,Exploratory Study of Intranasal Administration of Human Umbilical Cord Mesenchymal Stem Cell-Derived Extracellular Vesicles for the Treatment of Ischemic Stroke
ClinicalTrials.gov,NCT04812431,"S.Biomedics Co., Ltd.",INDUSTRY,South Korea,Neural precursor cells derived from human embryonic stem cell line,"Spinal Cord Injury, Acute; Spinal Cord Injury at C4 Level With Complete Lesion; Spinal Cord Injury at C5-C7 Level With Complete Lesion",Neurological,Embryonic Stem Cell (ESC),,Phase 1/2,RECRUITING,2021-09-23,https://clinicaltrials.gov/study/NCT04812431,Safety and Exploratory Efficacy of Transplantation Therapy Using PSA-NCAM(+) NPC in AIS-A Level of Sub-acute SCI
ClinicalTrials.gov,NCT02116634,"Alzahra Hospital, Iran",OTHER,Iran,mesenchymal stem cell,Amyotrophic Lateral Sclerosis,Neurological,Mesenchymal Stem Cell (MSC),,Phase 1/2,WITHDRAWN,2015-05,https://clinicaltrials.gov/study/NCT02116634,Mesenchymal Stem Cell Injection in Amyotrophic Lateral Sclerosis
ClinicalTrials.gov,NCT00003899,Fred Hutchinson Cancer Center,OTHER,United States,filgrastim; cyclophosphamide; melphalan; paclitaxel; thiotepa; autologous bone marrow transplantation; peripheral blood stem cell transplantation,"Unspecified Adult Solid Tumor, Protocol Specific",Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 1,COMPLETED,1999-01,https://clinicaltrials.gov/study/NCT00003899,Chemotherapy Plus Bone Marrow or Peripheral Stem Cell Transplantation in Treating Patients With Recurrent or Refractory Solid Tumors
ClinicalTrials.gov,NCT01857934,St. Jude Children's Research Hospital,OTHER,United States,cyclophosphamide; topotecan; hu14.18K322A; peripheral blood stem cell harvest; surgical resection; cisplatin; etoposide; doxorubicin; vincristine; busulfan; melphalan; peripheral blood stem cell transplantation; natural killer cell infusion; radiation therapy; GM-CSF; G-CSF; mesna; levetiracetam; interleukin-2; Isotretinoin; CliniMACS,Neuroblastoma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2013-07-05,https://clinicaltrials.gov/study/NCT01857934,Therapy for Children With Advanced Stage Neuroblastoma
ClinicalTrials.gov,NCT01271309,IRCCS Multimedica,OTHER,Italy,,Myocardial Infarction,Cardiovascular,Stem Cell (Unspecified Type),,Not Reported,COMPLETED,2007-07,https://clinicaltrials.gov/study/NCT01271309,Stem Cell Migratory Activity: Prognostic Marker in Myocardial Ischemia
